timestamp,device,event,detail
1721200189.4981022,mouse,move,"(910, 216)"
1721200189.5000694,mouse,move,"(908, 217)"
1721200189.5021381,mouse,move,"(905, 217)"
1721200189.5041752,mouse,move,"(903, 217)"
1721200189.506169,mouse,move,"(900, 217)"
1721200189.5081644,mouse,move,"(898, 217)"
1721200189.5101585,mouse,move,"(896, 217)"
1721200189.5299685,mouse,move,"(893, 217)"
1721200189.5299685,mouse,move,"(876, 217)"
1721200189.5310106,mouse,move,"(873, 217)"
1721200189.5323417,mouse,move,"(871, 217)"
1721200189.5365798,mouse,move,"(869, 217)"
1721200189.5365798,mouse,move,"(867, 217)"
1721200189.5385747,mouse,move,"(864, 217)"
1721200189.5410783,mouse,move,"(862, 217)"
1721200189.5420878,mouse,move,"(860, 217)"
1721200189.5440836,mouse,move,"(858, 217)"
1721200189.5460782,mouse,move,"(855, 217)"
1721200189.5480728,mouse,move,"(853, 217)"
1721200189.5500672,mouse,move,"(851, 217)"
1721200189.5524905,mouse,move,"(848, 217)"
1721200189.5537403,mouse,move,"(846, 217)"
1721200189.5567353,mouse,move,"(843, 217)"
1721200189.55873,mouse,move,"(841, 217)"
1721200189.5597265,mouse,move,"(838, 217)"
1721200189.562239,mouse,move,"(836, 217)"
1721200189.564236,mouse,move,"(833, 217)"
1721200189.5662591,mouse,move,"(831, 217)"
1721200189.5682256,mouse,move,"(828, 217)"
1721200189.5702202,mouse,move,"(826, 217)"
1721200189.5722404,mouse,move,"(824, 217)"
1721200189.5744555,mouse,move,"(821, 217)"
1721200189.5764508,mouse,move,"(818, 217)"
1721200189.5784452,mouse,move,"(816, 217)"
1721200189.5986698,mouse,move,"(813, 217)"
1721200189.5997145,mouse,move,"(790, 217)"
1721200189.5997145,mouse,move,"(787, 217)"
1721200189.6022327,mouse,move,"(784, 217)"
1721200189.605682,mouse,move,"(782, 217)"
1721200189.6066782,mouse,move,"(779, 217)"
1721200189.608673,mouse,move,"(777, 217)"
1721200189.6096709,mouse,move,"(774, 217)"
1721200189.6121883,mouse,move,"(771, 217)"
1721200189.6141846,mouse,move,"(769, 217)"
1721200189.6161802,mouse,move,"(766, 217)"
1721200189.6181996,mouse,move,"(763, 217)"
1721200189.6201699,mouse,move,"(761, 217)"
1721200189.6222432,mouse,move,"(758, 217)"
1721200189.6246405,mouse,move,"(756, 217)"
1721200189.6266358,mouse,move,"(753, 217)"
1721200189.6286316,mouse,move,"(750, 217)"
1721200189.6296384,mouse,move,"(748, 217)"
1721200189.6321518,mouse,move,"(745, 217)"
1721200189.6341493,mouse,move,"(742, 217)"
1721200189.6361449,mouse,move,"(739, 217)"
1721200189.6381385,mouse,move,"(737, 217)"
1721200189.6401331,mouse,move,"(734, 217)"
1721200189.6416337,mouse,move,"(731, 217)"
1721200189.6439004,mouse,move,"(728, 216)"
1721200189.6458957,mouse,move,"(726, 216)"
1721200189.64789,mouse,move,"(724, 216)"
1721200189.6671915,mouse,move,"(699, 215)"
1721200189.6681893,mouse,move,"(697, 215)"
1721200189.6701849,mouse,move,"(694, 215)"
1721200189.6755404,mouse,move,"(692, 215)"
1721200189.6755404,mouse,move,"(690, 215)"
1721200189.6765184,mouse,move,"(687, 215)"
1721200189.6785147,mouse,move,"(684, 215)"
1721200189.6795118,mouse,move,"(682, 215)"
1721200189.682086,mouse,move,"(679, 215)"
1721200189.6840827,mouse,move,"(677, 215)"
1721200189.6861014,mouse,move,"(674, 215)"
1721200189.6880715,mouse,move,"(672, 215)"
1721200189.6900659,mouse,move,"(669, 215)"
1721200189.6922626,mouse,move,"(666, 215)"
1721200189.6946619,mouse,move,"(664, 215)"
1721200189.696657,mouse,move,"(661, 215)"
1721200189.6986609,mouse,move,"(659, 215)"
1721200189.6996496,mouse,move,"(657, 215)"
1721200189.7022052,mouse,move,"(654, 215)"
1721200189.704667,mouse,move,"(652, 215)"
1721200189.7066693,mouse,move,"(649, 215)"
1721200189.7086437,mouse,move,"(647, 215)"
1721200189.7096415,mouse,move,"(645, 215)"
1721200189.7121892,mouse,move,"(642, 215)"
1721200189.7146688,mouse,move,"(640, 215)"
1721200189.7166638,mouse,move,"(638, 215)"
1721200189.7381852,mouse,move,"(635, 216)"
1721200189.739183,mouse,move,"(614, 218)"
1721200189.7401798,mouse,move,"(612, 219)"
1721200189.742705,mouse,move,"(609, 219)"
1721200189.7457304,mouse,move,"(607, 219)"
1721200189.7466967,mouse,move,"(605, 219)"
1721200189.7486916,mouse,move,"(602, 220)"
1721200189.7496886,mouse,move,"(600, 220)"
1721200189.7522316,mouse,move,"(598, 220)"
1721200189.7546587,mouse,move,"(596, 221)"
1721200189.756654,mouse,move,"(593, 221)"
1721200189.758648,mouse,move,"(591, 221)"
1721200189.7596462,mouse,move,"(589, 222)"
1721200189.7621875,mouse,move,"(586, 222)"
1721200189.764658,mouse,move,"(584, 222)"
1721200189.766652,mouse,move,"(581, 222)"
1721200189.7686467,mouse,move,"(579, 223)"
1721200189.7696447,mouse,move,"(576, 223)"
1721200189.7721586,mouse,move,"(574, 223)"
1721200189.7741582,mouse,move,"(572, 223)"
1721200189.776178,mouse,move,"(569, 224)"
1721200189.7781692,mouse,move,"(567, 224)"
1721200189.7801607,mouse,move,"(565, 224)"
1721200189.7822154,mouse,move,"(562, 224)"
1721200189.7846408,mouse,move,"(560, 225)"
1721200189.7866364,mouse,move,"(558, 225)"
1721200189.8076859,mouse,move,"(555, 225)"
1721200189.8076859,mouse,move,"(535, 227)"
1721200189.808655,mouse,move,"(533, 228)"
1721200189.8096528,mouse,move,"(531, 228)"
1721200189.814166,mouse,move,"(529, 228)"
1721200189.8151634,mouse,move,"(527, 229)"
1721200189.8161619,mouse,move,"(524, 229)"
1721200189.8181589,mouse,move,"(522, 229)"
1721200189.82015,mouse,move,"(520, 229)"
1721200189.8222005,mouse,move,"(518, 230)"
1721200189.8244224,mouse,move,"(516, 230)"
1721200189.8264174,mouse,move,"(514, 230)"
1721200189.8274148,mouse,move,"(512, 231)"
1721200189.829932,mouse,move,"(510, 231)"
1721200189.8321648,mouse,move,"(508, 231)"
1721200189.8344886,mouse,move,"(506, 232)"
1721200189.8364844,mouse,move,"(504, 232)"
1721200189.8385108,mouse,move,"(502, 232)"
1721200189.8394752,mouse,move,"(500, 232)"
1721200189.8420794,mouse,move,"(498, 233)"
1721200189.8440766,mouse,move,"(496, 233)"
1721200189.8460705,mouse,move,"(494, 234)"
1721200189.8480651,mouse,move,"(492, 234)"
1721200189.8500607,mouse,move,"(490, 234)"
1721200189.8521633,mouse,move,"(488, 235)"
1721200189.8542001,mouse,move,"(487, 235)"
1721200189.87718,mouse,move,"(485, 236)"
1721200189.87718,mouse,move,"(475, 244)"
1721200189.8791754,mouse,move,"(474, 245)"
1721200189.8801866,mouse,move,"(473, 246)"
1721200189.8846672,mouse,move,"(472, 247)"
1721200189.8856652,mouse,move,"(471, 248)"
1721200189.8866615,mouse,move,"(470, 249)"
1721200189.888664,mouse,move,"(469, 251)"
1721200189.8896542,mouse,move,"(468, 253)"
1721200189.8921967,mouse,move,"(467, 255)"
1721200189.8946583,mouse,move,"(466, 257)"
1721200189.8966527,mouse,move,"(466, 259)"
1721200189.898647,mouse,move,"(465, 261)"
1721200189.8996458,mouse,move,"(464, 263)"
1721200189.902179,mouse,move,"(464, 265)"
1721200189.9044666,mouse,move,"(463, 267)"
1721200189.9064615,mouse,move,"(463, 269)"
1721200189.9084568,mouse,move,"(462, 272)"
1721200189.9094534,mouse,move,"(461, 275)"
1721200189.9119692,mouse,move,"(461, 278)"
1721200189.9143138,mouse,move,"(460, 281)"
1721200189.9163086,mouse,move,"(459, 284)"
1721200189.9183023,mouse,move,"(458, 287)"
1721200189.920298,mouse,move,"(458, 290)"
1721200189.922546,mouse,move,"(457, 293)"
1721200189.9238148,mouse,move,"(456, 296)"
1721200189.925809,mouse,move,"(455, 299)"
1721200189.9452212,mouse,move,"(454, 302)"
1721200189.9461956,mouse,move,"(446, 327)"
1721200189.948191,mouse,move,"(445, 329)"
1721200189.9501855,mouse,move,"(444, 331)"
1721200189.9536877,mouse,move,"(443, 333)"
1721200189.9546852,mouse,move,"(442, 335)"
1721200189.9566796,mouse,move,"(441, 337)"
1721200189.9586751,mouse,move,"(440, 339)"
1721200189.9596727,mouse,move,"(439, 341)"
1721200189.9622233,mouse,move,"(439, 343)"
1721200189.9644282,mouse,move,"(438, 345)"
1721200189.9664423,mouse,move,"(437, 347)"
1721200189.9684188,mouse,move,"(436, 349)"
1721200189.969415,mouse,move,"(435, 351)"
1721200189.9719315,mouse,move,"(435, 353)"
1721200189.9743414,mouse,move,"(434, 354)"
1721200189.9763365,mouse,move,"(434, 356)"
1721200189.9783309,mouse,move,"(433, 358)"
1721200189.9803252,mouse,move,"(432, 359)"
1721200189.982391,mouse,move,"(431, 361)"
1721200189.984386,mouse,move,"(431, 363)"
1721200189.9863799,mouse,move,"(430, 365)"
1721200189.9883757,mouse,move,"(430, 367)"
1721200189.990369,mouse,move,"(429, 369)"
1721200189.9923828,mouse,move,"(429, 371)"
1721200189.994378,mouse,move,"(428, 373)"
1721200189.9963725,mouse,move,"(427, 375)"
1721200190.0174277,mouse,move,"(427, 377)"
1721200190.0183964,mouse,move,"(419, 401)"
1721200190.0194058,mouse,move,"(419, 403)"
1721200190.021957,mouse,move,"(418, 406)"
1721200190.0253797,mouse,move,"(417, 409)"
1721200190.0263586,mouse,move,"(416, 411)"
1721200190.0273566,mouse,move,"(415, 414)"
1721200190.0298743,mouse,move,"(414, 416)"
1721200190.0327728,mouse,move,"(413, 419)"
1721200190.0337691,mouse,move,"(412, 421)"
1721200190.0367618,mouse,move,"(411, 424)"
1721200190.0377598,mouse,move,"(410, 426)"
1721200190.0397534,mouse,move,"(409, 429)"
1721200190.0422933,mouse,move,"(408, 431)"
1721200190.044534,mouse,move,"(407, 433)"
1721200190.0465057,mouse,move,"(406, 435)"
1721200190.048501,mouse,move,"(405, 437)"
1721200190.0494978,mouse,move,"(404, 439)"
1721200190.0520484,mouse,move,"(403, 442)"
1721200190.0542707,mouse,move,"(402, 444)"
1721200190.0562937,mouse,move,"(401, 446)"
1721200190.0582843,mouse,move,"(400, 448)"
1721200190.0602536,mouse,move,"(399, 450)"
1721200190.0622935,mouse,move,"(398, 452)"
1721200190.064672,mouse,move,"(397, 454)"
1721200190.0666633,mouse,move,"(396, 456)"
1721200190.0845237,mouse,move,"(389, 471)"
1721200190.086498,mouse,move,"(389, 472)"
1721200190.088492,mouse,move,"(388, 473)"
1721200190.0909975,mouse,move,"(388, 474)"
1721200190.092011,mouse,move,"(387, 475)"
1721200190.094375,mouse,move,"(386, 476)"
1721200190.096368,mouse,move,"(386, 477)"
1721200190.0983634,mouse,move,"(385, 478)"
1721200190.1003573,mouse,move,"(384, 479)"
1721200190.101858,mouse,move,"(384, 480)"
1721200190.1038551,mouse,move,"(383, 481)"
1721200190.1058497,mouse,move,"(382, 482)"
1721200190.1078444,mouse,move,"(382, 483)"
1721200190.1098392,mouse,move,"(381, 484)"
1721200190.1113462,mouse,move,"(380, 485)"
1721200190.1147275,mouse,move,"(379, 486)"
1721200190.115725,mouse,move,"(379, 487)"
1721200190.1187165,mouse,move,"(378, 488)"
1721200190.1197138,mouse,move,"(377, 489)"
1721200190.1222277,mouse,move,"(376, 490)"
1721200190.1242254,mouse,move,"(375, 491)"
1721200190.1262496,mouse,move,"(374, 493)"
1721200190.1287234,mouse,move,"(373, 494)"
1721200190.1297352,mouse,move,"(372, 495)"
1721200190.1322834,mouse,move,"(371, 496)"
1721200190.1342819,mouse,move,"(370, 497)"
